% attribute groups are separated by ";".
% gender value is separated by ":".
# sNom, sGen, sDat, sAcc, sVoc, sLoc, sIns; pNom, pGen, pDat, pAcc, pVoc, pLoc, pIns

n.a64: svoje,  svého,  svému,  svoje, svoje,  svém,  svým; svoje,  svých,  svým, svoje, svoje,  svých,  svými
m.p66:   náš, našeho, našemu, našeho,   náš, našem, našim;  naši, našich, našim,  naše,  naši, našich, našimi
m.p66:   náš, našeho, našemu,    naš,   náš, našem, našim;  naši, našich, našim,  naše,  naši, našich, našimi
n.p66:  náše, našeho, našemu,   naše,  náše, našem, našim;  naše, našich, našim,  naše,  naše, našich, našimi
f.p66:  náše,   naší,   naší,   naši,  náše,  naší,  naší;  naše, našich, našim,  naše,  naše, našich, našimi
w.p67:    co,   čeho,   čemu,     co,    co,  čem,    čím;     X,      X,     X,      X,    X,      X,      X
w.p68:   kdo,   koho,   komu,   koho,   kdo,  kom,    kým;     X,      X,     X,      X,    X,      X,      X
%% adjectives
m.a69: mladý, mladého, mladému, mladého, mladý, mladém, mladým; mladí, mladých, mladým, mladé, mladí, mladých, mladými
m.a69: mladý, mladého, mladému, mladý, mladý, mladém, mladým; mladé, mladých, mladým, mladé, mladé, mladých, mladými
f.a69: mladá, mladé, mladé, mladou, mladá, mladé, mladou; mladé, mladých, mladým, mladé, mladé, mladých, mladými
n.a69: mladé, mladého, mladému, mladé, mladé, mladém, mladým; mladá, mladých, mladým, mladá, mladá, mladých, mladými
m.a70: jarní, jarního, jarnímu, jarního, jarní, jarním, jarním; jarní, jarních, jarním, jarní, jarní, jarních, jarními

%% end of file
